Age,Material,Diameter,Slope,Depth,Length,Soil PH,Soil Type,Road Type,Condition Rating
31,PVC,8,0.5,13,6.290914743,8.2,Clay,Street,1
46,PVC,30,0.31,8,491.2230732,8.2,Clay,Alley,1
16,RC,8,0.4,9.13,594.4529366,6.8,Gravel,Street,1
96,VCP,8,0.42,7,99.50458664,5.7,Sand,Street,3
61,VCP,15,0.32,11.87,330.5964313,5.4,Sand,Street,3
13,RC,8,0.33,11.87,341.9941086,7.9,Clay,Street,1
71,VCP,8,0.3,8,279.020778,4.1,Sand,Easement,3
71,VCP,8,0.6,8,193.6943354,7.9,Sand,Street,1
62,VCP,8,0.5,8,206.878546,8.2,Clay,Alley,3
70,RC,8,0.35,7,350,8.2,Clay,Street,3
10,PVC,15,0.2,10,446.5991146,8.2,Clay,Street,1
38,PVC,8,1,5,40.22661679,8.2,Sand,Street,1
14,PVC,8,1.502764526,8.85,593.8134764,8.2,Clay,Easement,1
72,VCP,10,0.2,10,317.99,5.4,Loam,Alley,1
62,RC,12,0.59,4.75,184.988815,7.9,Sand,Easement,1
71,VCP,8,2.6,2.01,341.9409296,8.2,Clay,Street,3
57,VCP,8,0.157,10,225.1,5.4,Loam,Street,3
43,VCP,8,0.4,8.58,212.4075443,6.5,Clay,Highway,1
14,PVC,8,0.25,9,329.6198526,8.2,Clay,Street,1
64,VCP,30,0.14,8.31,247.2274772,5.5,Sand,Street,3
49,VCP,8,0.21,15.43,286.9994532,5.7,Sand,Street,3
18,VCP,8,0.33,13,187.4722895,8.2,Sand,Alley,1
55,VCP,8,0.4,12.69,142.9634924,6.5,Sand,Easement,3
30,VCP,8,1.4,8,290.0771394,5.3,Sand,Easement,3
59,PVC,10,0.4,5,151.8123569,8.2,Sand,Easement,3
11,PVC,8,0.6,8,286.9969193,8.2,Sand,Street,1
66,VCP,72,0.03,11.59,141.7369321,7.9,Clay,Alley,1
43,VCP,27,0.35,5,159.03,8.2,Sand,Alley,1
41,PVC,72,0.38,6.12,301.327063,7.9,Clay,Street,3
68,VCP,8,1.1,12,308.2100812,5.7,Sand,Street,1
12,RC,8,0.8,13,47.06155326,8.2,Clay,Highway,1
65,RC,8,2.346433306,1.46,65,8.2,Sand,Highway,1
46,VCP,18,0.042715626,10,297.9720293,6.8,Loam,Street,4
70,RC,24,0.32,9.4,47.57197732,8.2,Clay,Street,1
41,PVC,8,0.56,6,312.502325,7.9,Sand,Easement,3
57,VCP,8,2.5,15,160.1521652,7.9,Clay,Street,1
38,VCP,27,0.75,6,349.4280053,6.9,Clay,Street,3
38,PVC,8,0.42,8,425.7680743,8.2,Clay,Street,1
38,PVC,8,0.46,8.85,349.3049062,7.9,Clay,Street,5
65,VCP,8,0.44,10.22,249.47901,6.8,Clay,Alley,4
60,VCP,8,2,8.58,205.5574436,4.8,Sand,Street,1
29,PVC,8,0.5,7,231.8867984,7.9,Clay,Street,1
68,VCP,8,0.36,5.969364153,289.99,5.5,Sand,Street,1
36,PVC,18,0.41,13.56211885,318.0804439,4.8,Sand,Street,3
26,PVC,8,0.39,7,294,7.9,Clay,Alley,1
27,RC,8,0.2,10,182.1245537,4.8,Sand,Easement,3
43,VCP,8,0.4,6.12,239.4935622,8.2,Clay,Street,3
66,VCP,8,0.4,9.13,91.67353033,5.4,Clay,Street,3
39,RC,8,0.8,7,336.8157812,8.2,Clay,Alley,1
28,PVC,8,2,7,125.2113627,8.2,Clay,Street,3
36,RC,18,0.41,8.58,491.2438488,8.2,Clay,Street,4
62,VCP,15,0.32,5,395.9873543,5.7,Sand,Street,1
70,VCP,8,0.43,12.69,137.9461809,5.4,Sand,Highway,3
14,PVC,8,0.11,16.8,203.0239078,7.9,Loam,Street,3
20,VCP,8,0.03,8.85,298.59,7.9,Clay,Easement,3
37,PVC,8,0.55,5,204.0752574,8.2,Clay,Street,1
65,VCP,79,0,5,428.6257181,5.4,Sand,Easement,3
17,RC,15,0.313367048,12.96,346.737362,5.4,Sand,Street,1
36,VCP,8,2.396928232,7,299.9840449,4.8,Sand,Easement,5
71,VCP,10,0.5,7,358.044088,5.5,Sand,Street,5
51,RC,8,0.26,7,231.0180451,4.8,Sand,Easement,3
71,PVC,8,0.4,7,393.131541,5.7,Clay,Street,3
13,PVC,54,0.4,8,309.5,8.2,Clay,Street,1
62,VCP,8,0.41,8.58,298.0074836,7.9,Sand,Street,3
15,PVC,12,0.41,5,272.4987146,8.2,Clay,Alley,1
54,VCP,8,1.8,5,80.81604564,7.9,Loam,Street,3
50,PVC,21,0.34,12,328.6375927,6.765837869,Rock,Street,1
70,VCP,8,3.950970344,5,97.09842797,8.2,Loam,Highway,1
54,VCP,8,0.32,19.54,124.1121458,4.1,Loam,Street,5
42,RC,8,0.35,1.73,537.126356,5.5,Sand,Street,3
37,VCP,8,0.35,8,299.9349099,7.5,Clay,Street,1
66,VCP,15,0.31,7,206.379588,8.2,Clay,Street,1
54,PVC,10,0.4,8,303.9771418,5.8,Sand,Street,3
34,PVC,8,0.28,1.46,331.0654518,7.9,Clay,Street,1
64,VCP,24,0.09,8.85,450.3553072,7.9,Clay,Alley,1
67,VCP,54,0.04,8,326.7104678,5.8,Sand,Alley,5
59,VCP,10,0.34,8,97.21287737,8.2,Clay,Highway,3
14,VCP,8,0.3,7.807082526,287.9934334,5.7,Clay,Highway,3
61,VCP,36,2.5,8,478.8746631,7.9,Clay,Highway,2
35,PVC,10,0.33,8.58,401.5802465,8.2,Sand,Street,3
71,VCP,8,0.3,13.79,264.64,5.4,Sand,Street,3
65,VCP,8,0.19,11.32,568.3595164,4.8,Sand,Street,5
18,VCP,8,0.63,5,153.529408,4.8,Sand,Street,3
66,PVC,8,0.3,6.12,366.6260824,5.8,Sand,Easement,5
62,VCP,8,0.15,15.7,310.4279039,5.4,Sand,Highway,5
33,PVC,8,0.4,8,307.8573935,6.8,Clay,Street,3
61,VCP,8,0.28,6.12,433.4488026,6.9,Clay,Highway,3
18,VCP,42,0.47,11.32,73.80165384,6.9,Sand,Street,1
58,VCP,8,0.32,8.03,238.167097,5.4,Clay,Street,1
61,VCP,6,0.33,8,1173.814247,5.5,Sand,Street,4
12,VCP,10,0.4,11.87,130.2850767,7.4,Gravel,Street,1
67,VCP,6,0.851835457,8,47.17830825,8.2,Clay,Street,3
34,PVC,8,0.8,7,260.991782,7.9,Loam,Street,1
17,PVC,8,0.6,6,540.105475,8.2,Clay,Street,1
24,PVC,8,0.6,6,490.6086707,5.8,Sand,Street,5
95,VCP,27,0.06,13.51,360.2639317,5.4,Clay,Street,3
63,PVC,8,0.29,7,517.0391367,8.2,Clay,Alley,1
71,PVC,8,0.4,8,328.992714,7.9,Clay,Street,2
43,RC,8,0.25,10,147.4749809,8.2,Clay,Highway,4
16,PVC,8,0.46,4.47,122.5792685,8.2,Clay,Street,1
16,PVC,10,0.38,11.32,175.0749222,5.4,Sand,Alley,2
46,PVC,8,0.47,5,189.381731,7.9,Loam,Highway,1
36,PVC,8,0.14,11.05,421.066336,7.9,Clay,Alley,1
64,VCP,8,0.29,7,171.5747992,7.9,Loam,Alley,2
23,PVC,8,0.63,7,65.19278027,8.2,Clay,Street,1
36,VCP,8,0.31,11.59,90.0924711,4.8,Sand,Street,3
14,PVC,72,0.012,7,500.5339491,8.2,Clay,Street,1
57,VCP,8,0.36,14.06,335.2717939,5.8,Loam,Street,1
46,RC,36,0.04,7,399.99,7.9,Clay,Alley,3
65,PVC,8,0.4,15,397.5910192,6.8,Loam,Street,3
48,VCP,8,0.32,9.68,154.598189,5.3,Sand,Street,3
62,VCP,10,0.28,8.85,536.5940216,5.4,Sand,Highway,5
59,VCP,8,2,7,618.6519219,8.2,Sand,Street,1
57,RC,8,0.93,2.28,132.016646,8.2,Clay,Street,1
65,PVC,8,0.65,7,350.25,7.9,Clay,Street,2
17,PVC,8,4.092621761,5,264.4921504,5.8,Sand,Street,1
21,PVC,8,1.5,9.13,318.3202043,6.7,Loam,Alley,3
24,PVC,8,0.6,5,432.8183571,8.2,Clay,Alley,1
49,PVC,27,0.3,7,373.8168594,8.2,Sand,Street,1
53,PVC,10,0.35,11.59,232.1503131,6.8,Clay,Alley,3
13,RC,6,0.15,10,236.4954772,4.8,Sand,Street,1
18,PVC,15,0.75,8,261.7162348,8.2,Clay,Highway,1
68,VCP,6,0.5,12,159.128801,5.3,Sand,Alley,3
46,PVC,24,0.043454895,12.96,271.9846203,8.2,Clay,Alley,1
71,VCP,18,0.2,19.54,279.79,8.2,Clay,Street,1
32,PVC,8,1.8,8,170.8027702,8.2,Clay,Street,1
46,PVC,6,0.37,8.85,352.9124258,8.2,Loam,Street,3
50,VCP,27,0.3,10,235.1142744,6.9,Sand,Highway,1
39,PVC,8,1.5,7.21,85,8.2,Loam,Highway,1
60,VCP,21,0.29,10,244.99,5.7,Sand,Street,3
54,VCP,39,0.4,6,361.5877343,5.4,Sand,Easement,4
18,PVC,10,0.26,15,161.2803654,7.4,Sand,Street,1
54,VCP,8,0.6,5,285.2560455,7.5,Clay,Street,2
39,RC,8,0.51,6,131.3247095,8.2,Clay,Street,3
84,PVC,10,0.22,10.22,261.447193,8.2,Clay,Street,3
68,VCP,12,0.004,14.61,330.89,7.9,Sand,Street,3
64,RC,12,0.42,11.87,195.8482153,5.4,Sand,Street,3
33,VCP,15,0.41,7.76,182.0229332,8.2,Sand,Street,4
50,VCP,8,0.24,15.7,136.0167822,4.8,Clay,Alley,1
46,VCP,8,0.4,8,300.4376399,7.9,Loam,Street,3
46,VCP,8,0.29,8.58,231.2965621,4.8,Sand,Alley,3
64,VCP,30,0.52,4.75,319.9924258,6.7,Loam,Street,3
11,RC,27,3.6,10,318.6860341,7.9,Clay,Easement,3
71,VCP,15,0.34,7,298.5920827,6.8,Clay,Street,3
65,VCP,8,0.11,8.58,259.99,7.4,Sand,Easement,4
66,VCP,18,0.38,5,445.5773957,7.9,Sand,Street,1
17,VCP,8,3.317839534,1.73,34.48721731,8.2,Loam,Street,1
49,PVC,8,0.5,7,355.8945747,7.9,Sand,Alley,3
32,VCP,8,0.39,10.22,222.1502528,8.2,Gravel,Alley,1
36,RC,8,0.4,9.95,334.481451,7.9,Loam,Street,3
38,VCP,8,0.18,19.54,59.52969015,4.8,Clay,Highway,1
17,PVC,8,0.39,8.85,664.9105247,8.2,Loam,Alley,1
84,VCP,8,0.34,7,260.8527131,8.2,Clay,Street,3
15,VCP,8,0.38,10.22,205.5493777,5.4,Loam,Street,1
45,PVC,10,0.2,14.06,258.9735749,4.8,Clay,Highway,1
6,PVC,8,3,5,119.0157094,7.5,Loam,Street,1
31,PVC,8,2.6,5,457.737293,7.9,Clay,Street,3
30,PVC,8,1,1.124437701,465.6248813,4.8,Sand,Street,3
121,VCP,8,0.6,10,283.9958734,4.8,Sand,Easement,3
46,PVC,8,0.4,10,390.0274905,5.4,Sand,Street,1
18,PVC,8,4,5,399.8649147,8.2,Clay,Street,1
72,RC,8,0.58,8.58,503.4126406,7.9,Loam,Street,3
74,VCP,8,0.4,5,389.8839404,7.9,Clay,Street,3
35,VCP,8,0.6,7.76,378.9030943,8.2,Clay,Street,1
48,VCP,12,0.32,11.87,360.2337256,5.7,Sand,Street,3
36,PVC,6,2.318871832,10,193.7168564,8.2,Sand,Easement,1
59,PVC,8,0.1,10,165.63,8.2,Rock,Street,1
57,RC,8,0.8,9.13,265.8597172,7.5,Clay,Easement,3
58,PVC,8,0.4,10.5,371.4818666,7.9,Loam,Alley,1
66,VCP,48,0.28,6,1236.920142,7.5,Sand,Street,5
83,VCP,8,3.355153882,7,190,6.8,Sand,Alley,1
67,VCP,18,0.34,5,267.5345471,8.2,Sand,Easement,1
52,PVC,24,0.24,8,205.068704,8.2,Clay,Easement,2
63,VCP,78,0.2,7,422.0051854,6.5,Loam,Street,2
65,VCP,15,0.75,5,565.5730738,8.2,Clay,Highway,3
23,PVC,8,0.21,7,158.2263346,8.2,Clay,Street,1
84,VCP,8,0.31,8.85,517.5894531,6.5,Rock,Easement,4
64,RC,8,1.6,7,278.1751741,7.9,Sand,Street,3
22,PVC,6,0.8,13.79,239.99,8.2,Clay,Street,1
10,PVC,8,1.733015123,8,218.9479705,8.2,Rock,Street,1
69,PVC,8,1.550710409,7,289.8471073,8.2,Loam,Street,5
18,PVC,8,0.44,6,439.5212107,8.2,Loam,Alley,1
18,PVC,8,0.39,7,204.3186451,7.9,Sand,Highway,1
48,RC,8,0.8,11.32,226.2915886,7.5,Sand,Street,3
17,PVC,8,1,7,179.8576402,8.2,Sand,Highway,1
56,PVC,8,0.8,4.75,242.9178478,4.8,Sand,Street,1
71,VCP,8,0.36,6.66,451.4933736,6.9,Loam,Street,3
64,VCP,8,0.4,14.33,286.0104363,4.1,Sand,Street,3
17,PVC,8,0.6,6,346.053374,8.2,Clay,Street,1
56,VCP,8,0.29,8.58,210.023464,4.8,Sand,Street,3
71,VCP,16,0.51,1.73,623.4247476,8.2,Clay,Street,3
48,VCP,12,0,12.96,548.8001803,4.1,Sand,Street,3
73,PVC,10,0.33,7,326.6616255,8.2,Clay,Street,3
47,RC,8,0.39,8,25.21220743,4.8,Sand,Easement,4
73,VCP,8,0.33,14.06,200.6,6.7,Loam,Alley,3
77,VCP,8,0,15.71913906,436.6566136,5.4,Sand,Street,3
16,VCP,8,0.5,8.85,225.6043091,4.8,Loam,Alley,3
44,RC,12,0.4,5,99.19612788,7.9,Clay,Street,1
49,PVC,8,1.91,10,353.6,8.2,Clay,Street,1
60,VCP,8,0.6,8,160.558723,5.8,Sand,Easement,4
74,VCP,8,0.41,10,235.7901889,6.9,Sand,Street,3
16,PVC,10,0.39,5,227.8292642,8.2,Clay,Easement,1
64,RC,8,0.75,7,163.7160095,8.2,Clay,Street,3
70,VCP,8,0.31,6,28.31250109,6.8,Sand,Street,3
49,VCP,8,0.31,8.58,239.9823131,5.4,Loam,Easement,1
27,PVC,8,0.4,7,319.7105953,8.2,Clay,Street,3
79,VCP,8,0.9,4.75,122.6627898,7.9,Clay,Street,5
64,VCP,30,0.4,6.94,1023.571502,5.4,Clay,Alley,1
65,PVC,8,3.1,5,393.2438673,8.2,Clay,Easement,1
79,VCP,18,0.33,11.05,623.5940154,8.2,Clay,Street,3
43,PVC,83,0.03144466,10.22,408.4806719,8.2,Clay,Highway,1
47,PVC,8,3.4,10,31.99,4.8,Sand,Street,1
48,PVC,8,0.4,5,428.4137082,7.9,Clay,Street,1
23,PVC,8,0.5,7,643.2772625,6.8,Sand,Street,1
65,PVC,6,1.8,11.59,40.57493689,5.7,Sand,Street,3
81,VCP,8,0.41,10,432.3156455,7.9,Loam,Street,3
16,PVC,8,1,7,126.9377675,4.8,Sand,Street,1
63,VCP,8,0.38,5.57,156.3974767,6.8,Sand,Street,5
61,VCP,8,0.6,5,292.7939884,7.4,Sand,Street,1
47,PVC,8,3.5,6,378.3956724,7.9,Sand,Street,3
58,RC,8,0.5,7,349.99,6.7,Loam,Highway,3
20,PVC,8,1.2,5,180,8.2,Clay,Street,1
22,VCP,12,0.31,15,293.0004088,6.8,Sand,Street,3
66,VCP,18,0.35,10,328.7862231,5.4,Sand,Street,1
63,PVC,8,0.6,7,294.9925823,5.4,Sand,Street,1
64,RC,10,0.3,14.33,401.6917091,6.5,Loam,Highway,3
58,VCP,8,0.39,7,299.99,4.8,Sand,Highway,5
37,PVC,6,3.6,7,16.44533854,6.9,Loam,Street,1
71,VCP,8,1,5,172.8847886,7.5,Clay,Highway,3
54,PVC,8,0.6,8,254.3994287,8.2,Sand,Street,1
60,VCP,8,0.15,12.42,325.7965378,5.4,Sand,Street,3
68,VCP,8,0.34,8.58,54.99,6.8,Loam,Street,3
67,VCP,8,0.58,14.61,91.27413989,5.5,Clay,Highway,4
11,PVC,8,0.4,8,223.7757477,8.2,Sand,Easement,1
65,VCP,8,0.49,8.85,398.850381,5.5,Sand,Street,1
30,PVC,8,0.39,6,285.0367609,8.2,Loam,Street,3
21,RC,8,0.69,7,11.78973917,5.4,Sand,Street,1
70,PVC,8,0.66,7,194.0311289,6.9,Sand,Street,2
59,PVC,10,0.38,10,420.3677012,8.2,Clay,Alley,4
45,RC,8,0.33,7,294.52,8.2,Loam,Street,1
35,PVC,8,0.43,3.997018597,204.5561593,8.2,Loam,Alley,3
15,PVC,8,0.4,7,129.7291629,7.9,Sand,Street,1
62,VCP,6,0.861970601,6,198.1838349,5.7,Sand,Alley,1
15,PVC,8,0.858172735,8,276.2279087,8.2,Clay,Street,1
65,VCP,10,0.29,8.85,231.3160992,6.9,Sand,Easement,3
72,VCP,8,0.65,5,474.2293922,5.4,Sand,Street,5
18,PVC,18,0.22,8,165.9874276,6.9,Rock,Street,1
62,VCP,18,1.75,6,50.19896088,6.9,Clay,Street,1
65,PVC,8,0.1,8,407.0262676,5.7,Clay,Street,1
13,PVC,30,0.41,7,165.63,8.2,Clay,Alley,1
13,PVC,18,0.39,7,182.403242,8.2,Clay,Alley,1
